5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
XX-FW83563B9.5__chrX	XX-FW83563B9.5__chrX
XX-FYM637E10_5.1__chr10	XX-FYM637E10_5.1__chr10
XXYLT1-AS1__chr3	XXYLT1-AS1__chr3
XXYLT1-AS2__chr3	XXYLT1-AS2__chr3
XXYLT1__chr3	XXYLT1__chr3
XXbac-B135H6.15__chr22	XXbac-B135H6.15__chr22
XXbac-B135H6.18__chr22	XXbac-B135H6.18__chr22
XXbac-B33L19.12__chr22	XXbac-B33L19.12__chr22
XXbac-B33L19.4__chr22	XXbac-B33L19.4__chr22
XXbac-B33L19.6__chr22	XXbac-B33L19.6__chr22
XXbac-B444P24.13__chr22	XXbac-B444P24.13__chr22
XXbac-B444P24.14__chr22	XXbac-B444P24.14__chr22
XXbac-B444P24.8__chr22	XXbac-B444P24.8__chr22
XXbac-B461K10.4__chr22	XXbac-B461K10.4__chr22
XXbac-B476C20.13__chr22	XXbac-B476C20.13__chr22
XXbac-B476C20.14__chr22	XXbac-B476C20.14__chr22
XXbac-B476C20.9__chr22	XXbac-B476C20.9__chr22
XXbac-B562F10.12__chr22	XXbac-B562F10.12__chr22
XXbac-BCX196D17.5__chr6	XXbac-BCX196D17.5__chr6
XXbac-BPG116M5.17__chr6	XXbac-BPG116M5.17__chr6
XXbac-BPG13B8.10__chr6	XXbac-BPG13B8.10__chr6
XXbac-BPG154L12.4__chr6	XXbac-BPG154L12.4__chr6
XXbac-BPG154L12.5__chr6	XXbac-BPG154L12.5__chr6
XXbac-BPG157A10.21__chr6	XXbac-BPG157A10.21__chr6
XXbac-BPG170G13.32__chr6	XXbac-BPG170G13.32__chr6
XXbac-BPG181B23.7__chr6	XXbac-BPG181B23.7__chr6
XXbac-BPG181M17.5__chr6	XXbac-BPG181M17.5__chr6
XXbac-BPG181M17.6__chr6	XXbac-BPG181M17.6__chr6
XXbac-BPG246D15.9__chr6	XXbac-BPG246D15.9__chr6
XXbac-BPG248L24.13__chr6	XXbac-BPG248L24.13__chr6
XXbac-BPG249D20.9__chr6	XXbac-BPG249D20.9__chr6
XXbac-BPG252P9.10__chr6	XXbac-BPG252P9.10__chr6
XXbac-BPG252P9.9__chr6	XXbac-BPG252P9.9__chr6
XXbac-BPG254F23.7__chr6	XXbac-BPG254F23.7__chr6
XXbac-BPG258E24.10__chr6	XXbac-BPG258E24.10__chr6
XXbac-BPG27H4.8__chr6	XXbac-BPG27H4.8__chr6
XXbac-BPG283O16.9__chr6	XXbac-BPG283O16.9__chr6
XXbac-BPG294E21.9__chr6	XXbac-BPG294E21.9__chr6
XXbac-BPG299F13.14__chr6	XXbac-BPG299F13.14__chr6
XXbac-BPG299F13.17__chr6	XXbac-BPG299F13.17__chr6
XXbac-BPG300A18.13__chr6	XXbac-BPG300A18.13__chr6
XXbac-BPG308J9.3__chr6	XXbac-BPG308J9.3__chr6
XXbac-BPG308K3.5__chr6	XXbac-BPG308K3.5__chr6
XXbac-BPG32J3.19__chr6	XXbac-BPG32J3.19__chr6
XXbac-BPG32J3.20__chr6	XXbac-BPG32J3.20__chr6
XXbac-BPG32J3.22__chr6	XXbac-BPG32J3.22__chr6
XXbac-BPG55C20.7__chr6	XXbac-BPG55C20.7__chr6
XXbac-BPGBPG55C20.1__chr6	XXbac-BPGBPG55C20.1__chr6
XXbac-BPGBPG55C20.2__chr6	XXbac-BPGBPG55C20.2__chr6
XXbac-BPGBPG55C20.3__chr6	XXbac-BPGBPG55C20.3__chr6
XXcos-LUCA11.5__chr3	XXcos-LUCA11.5__chr3
XXcos-LUCA16.1__chr3	XXcos-LUCA16.1__chr3
XXyac-YM21GA2.3__chr9	XXyac-YM21GA2.3__chr9
XXyac-YM21GA2.4__chr9	XXyac-YM21GA2.4__chr9
XXyac-YM21GA2.7__chr9	XXyac-YM21GA2.7__chr9
XXyac-YR21CG7.1__chr10	XXyac-YR21CG7.1__chr10
XXyac-YR29IB3.1__chrX	XXyac-YR29IB3.1__chrX
XXyac-YR38GF2.1__chr6	XXyac-YR38GF2.1__chr6
XXyac-YRM2039.3__chr9	XXyac-YRM2039.3__chr9
XXyac-YX155B6.5__chr1	XXyac-YX155B6.5__chr1
XXyac-YX155B6.7__chr1	XXyac-YX155B6.7__chr1
XXyac-YX60D10.1__chr20	XXyac-YX60D10.1__chr20
XXyac-YX65C7_A.2__chr6	XXyac-YX65C7_A.2__chr6
XXyac-YX65C7_A.3__chr6	XXyac-YX65C7_A.3__chr6
XYLB__chr3	XYLB__chr3
XYLT1__chr16	XYLT1__chr16
XYLT2__chr17	XYLT2__chr17
Xist_exon1__chrX	Xist_exon1__chrX
Xist_exon4__chrX	Xist_exon4__chrX
YAE1D1__chr7	YAE1D1__chr7
YAF2__chr12	YAF2__chr12
YAP1__chr11	YAP1__chr11
YARS2__chr12	YARS2__chr12
YARS__chr1	YARS__chr1
YBEY__chr21	YBEY__chr21
YBX1__chr1	YBX1__chr1
YBX2__chr17	YBX2__chr17
YBX3__chr12	YBX3__chr12
YDJC__chr22	YDJC__chr22
YEATS2-AS1__chr3	YEATS2-AS1__chr3
YEATS2__chr3	YEATS2__chr3
YEATS4__chr12	YEATS4__chr12
YES1__chr18	YES1__chr18
YIF1A__chr11	YIF1A__chr11
YIF1B__chr19	YIF1B__chr19
YIPF1__chr1	YIPF1__chr1
YIPF2__chr19	YIPF2__chr19
YIPF3__chr6	YIPF3__chr6
YIPF4__chr2	YIPF4__chr2
YIPF5__chr5	YIPF5__chr5
YIPF6__chrX	YIPF6__chrX
YIPF7__chr4	YIPF7__chr4
YJEFN3__chr19	YJEFN3__chr19
YKT6__chr7	YKT6__chr7
YLPM1__chr14	YLPM1__chr14
YME1L1__chr10	YME1L1__chr10
YOD1__chr1	YOD1__chr1
YPEL1__chr22	YPEL1__chr22
YPEL2__chr17	YPEL2__chr17
YPEL3__chr16	YPEL3__chr16
YPEL4__chr11	YPEL4__chr11
YPEL5__chr2	YPEL5__chr2
YRDC__chr1	YRDC__chr1
YTHDC1__chr4	YTHDC1__chr4
YTHDC2__chr5	YTHDC2__chr5
YTHDF1__chr20	YTHDF1__chr20
YTHDF2__chr1	YTHDF2__chr1
YTHDF3-AS1__chr8	YTHDF3-AS1__chr8
YTHDF3__chr8	YTHDF3__chr8
YWHAB__chr20	YWHAB__chr20
YWHAE__chr17	YWHAE__chr17
YWHAG__chr7	YWHAG__chr7
YWHAH__chr22	YWHAH__chr22
YWHAQ__chr2	YWHAQ__chr2
YWHAZ__chr8	YWHAZ__chr8
YY1AP1__chr1	YY1AP1__chr1
YY1__chr14	YY1__chr14
YY2__chrX	YY2__chrX
Y_RNA__chr1	Y_RNA__chr1
Y_RNA__chr10	Y_RNA__chr10
Y_RNA__chr11	Y_RNA__chr11
Y_RNA__chr12	Y_RNA__chr12
Y_RNA__chr13	Y_RNA__chr13
Y_RNA__chr14	Y_RNA__chr14
Y_RNA__chr15	Y_RNA__chr15
Y_RNA__chr16	Y_RNA__chr16
Y_RNA__chr17	Y_RNA__chr17
Y_RNA__chr18	Y_RNA__chr18
Y_RNA__chr19	Y_RNA__chr19
Y_RNA__chr2	Y_RNA__chr2
Y_RNA__chr20	Y_RNA__chr20
Y_RNA__chr21	Y_RNA__chr21
Y_RNA__chr22	Y_RNA__chr22
Y_RNA__chr3	Y_RNA__chr3
Y_RNA__chr4	Y_RNA__chr4
Y_RNA__chr5	Y_RNA__chr5
Y_RNA__chr6	Y_RNA__chr6
Y_RNA__chr7	Y_RNA__chr7
Y_RNA__chr8	Y_RNA__chr8
Y_RNA__chr9	Y_RNA__chr9
Y_RNA__chrX	Y_RNA__chrX
Y_RNA__chrY	Y_RNA__chrY
Z69666.2__chr16	Z69666.2__chr16
Z69720.2__chr16	Z69720.2__chr16
Z69720.3__chr16	Z69720.3__chr16
Z70272.1__chrX	Z70272.1__chrX
Z73964.1__chrX	Z73964.1__chrX
Z77249.1__chrX	Z77249.1__chrX
Z82205.1__chrX	Z82205.1__chrX
Z82214.2__chr22	Z82214.2__chr22
Z82214.3__chr22	Z82214.3__chr22
Z83001.1__chr11	Z83001.1__chr11
Z83844.1__chr22	Z83844.1__chr22
Z83851.4__chr22	Z83851.4__chr22
Z84466.1__chrX	Z84466.1__chrX
Z84812.4__chr16	Z84812.4__chr16
Z85986.1__chr6	Z85986.1__chr6
Z93241.1__chr22	Z93241.1__chr22
Z93930.1__chr22	Z93930.1__chr22
Z95116.1__chr22	Z95116.1__chr22
Z97055.1__chr22	Z97055.1__chr22
Z98052.1__chr1	Z98052.1__chr1
Z98750.1__chr1	Z98750.1__chr1
Z98949.1__chr22	Z98949.1__chr22
Z99756.1__chr22	Z99756.1__chr22
Z99916.1__chr22	Z99916.1__chr22
ZACN__chr17	ZACN__chr17
ZADH2__chr18	ZADH2__chr18
ZAN__chr7	ZAN__chr7
ZAP70__chr2	ZAP70__chr2
ZAR1L__chr13	ZAR1L__chr13
ZAR1__chr4	ZAR1__chr4
ZBBX__chr3	ZBBX__chr3
ZBED1__chrX	ZBED1__chrX
ZBED1__chrY	ZBED1__chrY
ZBED2__chr3	ZBED2__chr3
ZBED3-AS1__chr5	ZBED3-AS1__chr5
ZBED3__chr5	ZBED3__chr5
ZBED4__chr22	ZBED4__chr22
ZBED5-AS1__chr11	ZBED5-AS1__chr11
ZBED5__chr11	ZBED5__chr11
ZBED6CL__chr7	ZBED6CL__chr7
ZBED6__chr1	ZBED6__chr1
ZBED8__chr5	ZBED8__chr5
ZBED9__chr6	ZBED9__chr6
ZBP1__chr20	ZBP1__chr20
ZBTB10__chr8	ZBTB10__chr8
ZBTB11-AS1__chr3	ZBTB11-AS1__chr3
ZBTB11__chr3	ZBTB11__chr3
ZBTB12__chr6	ZBTB12__chr6
ZBTB14__chr18	ZBTB14__chr18
ZBTB16__chr11	ZBTB16__chr11
ZBTB17__chr1	ZBTB17__chr1
ZBTB18__chr1	ZBTB18__chr1
ZBTB1__chr14	ZBTB1__chr14
ZBTB20-AS1__chr3	ZBTB20-AS1__chr3
ZBTB20-AS2__chr3	ZBTB20-AS2__chr3
ZBTB20-AS3__chr3	ZBTB20-AS3__chr3
ZBTB20-AS4__chr3	ZBTB20-AS4__chr3
ZBTB20__chr3	ZBTB20__chr3
ZBTB21__chr21	ZBTB21__chr21
ZBTB22__chr6	ZBTB22__chr6
ZBTB24__chr6	ZBTB24__chr6
ZBTB25__chr14	ZBTB25__chr14
ZBTB26__chr9	ZBTB26__chr9
ZBTB2__chr6	ZBTB2__chr6
ZBTB32__chr19	ZBTB32__chr19
ZBTB33__chrX	ZBTB33__chrX
ZBTB34__chr9	ZBTB34__chr9
ZBTB37__chr1	ZBTB37__chr1
ZBTB38__chr3	ZBTB38__chr3
ZBTB39__chr12	ZBTB39__chr12
ZBTB3__chr11	ZBTB3__chr11
ZBTB40-IT1__chr1	ZBTB40-IT1__chr1
ZBTB40__chr1	ZBTB40__chr1
ZBTB41__chr1	ZBTB41__chr1
ZBTB42__chr14	ZBTB42__chr14
ZBTB43__chr9	ZBTB43__chr9
ZBTB44__chr11	ZBTB44__chr11
ZBTB45__chr19	ZBTB45__chr19
ZBTB46-AS1__chr20	ZBTB46-AS1__chr20
ZBTB46__chr20	ZBTB46__chr20
ZBTB47__chr3	ZBTB47__chr3
ZBTB48__chr1	ZBTB48__chr1
ZBTB49__chr4	ZBTB49__chr4
ZBTB4__chr17	ZBTB4__chr17
ZBTB5__chr9	ZBTB5__chr9
ZBTB6__chr9	ZBTB6__chr9
ZBTB7A__chr19	ZBTB7A__chr19
ZBTB7B__chr1	ZBTB7B__chr1
ZBTB7C__chr18	ZBTB7C__chr18
ZBTB8A__chr1	ZBTB8A__chr1
ZBTB8B__chr1	ZBTB8B__chr1
ZBTB8OS__chr1	ZBTB8OS__chr1
ZBTB9__chr6	ZBTB9__chr6
ZC2HC1A__chr8	ZC2HC1A__chr8
ZC2HC1B__chr6	ZC2HC1B__chr6
ZC2HC1C__chr14	ZC2HC1C__chr14
ZC3H10__chr12	ZC3H10__chr12
ZC3H11A__chr1	ZC3H11A__chr1
ZC3H12A__chr1	ZC3H12A__chr1
ZC3H12B__chrX	ZC3H12B__chrX
ZC3H12C__chr11	ZC3H12C__chr11
ZC3H12D__chr6	ZC3H12D__chr6
ZC3H13__chr13	ZC3H13__chr13
ZC3H14__chr14	ZC3H14__chr14
ZC3H15__chr2	ZC3H15__chr2
ZC3H18__chr16	ZC3H18__chr16
ZC3H3__chr8	ZC3H3__chr8
ZC3H4__chr19	ZC3H4__chr19
ZC3H6__chr2	ZC3H6__chr2
ZC3H7A__chr16	ZC3H7A__chr16
ZC3H7B__chr22	ZC3H7B__chr22
ZC3H8__chr2	ZC3H8__chr2
ZC3HAV1L__chr7	ZC3HAV1L__chr7
ZC3HAV1__chr7	ZC3HAV1__chr7
ZC3HC1__chr7	ZC3HC1__chr7
ZC4H2__chrX	ZC4H2__chrX
ZCCHC10__chr5	ZCCHC10__chr5
ZCCHC11__chr1	ZCCHC11__chr1
ZCCHC12__chrX	ZCCHC12__chrX
ZCCHC13__chrX	ZCCHC13__chrX
ZCCHC14__chr16	ZCCHC14__chr16
ZCCHC16__chrX	ZCCHC16__chrX
ZCCHC17__chr1	ZCCHC17__chr1
ZCCHC18__chrX	ZCCHC18__chrX
ZCCHC24__chr10	ZCCHC24__chr10
ZCCHC2__chr18	ZCCHC2__chr18
ZCCHC3__chr20	ZCCHC3__chr20
ZCCHC4__chr4	ZCCHC4__chr4
ZCCHC5__chrX	ZCCHC5__chrX
ZCCHC6__chr9	ZCCHC6__chr9
ZCCHC7__chr9	ZCCHC7__chr9
ZCCHC8__chr12	ZCCHC8__chr12
ZCCHC9__chr5	ZCCHC9__chr5
ZCRB1__chr12	ZCRB1__chr12
ZCWPW1__chr7	ZCWPW1__chr7
ZCWPW2__chr3	ZCWPW2__chr3
ZDBF2__chr2	ZDBF2__chr2
ZDHHC11B__chr5	ZDHHC11B__chr5
ZDHHC11__chr5	ZDHHC11__chr5
ZDHHC12__chr9	ZDHHC12__chr9
ZDHHC13__chr11	ZDHHC13__chr11
ZDHHC14__chr6	ZDHHC14__chr6
ZDHHC15__chrX	ZDHHC15__chrX
ZDHHC16__chr10	ZDHHC16__chr10
ZDHHC17__chr12	ZDHHC17__chr12
ZDHHC18__chr1	ZDHHC18__chr1
ZDHHC19__chr3	ZDHHC19__chr3
ZDHHC1__chr16	ZDHHC1__chr16
ZDHHC20-IT1__chr13	ZDHHC20-IT1__chr13
ZDHHC20__chr13	ZDHHC20__chr13
ZDHHC21__chr9	ZDHHC21__chr9
ZDHHC22__chr14	ZDHHC22__chr14
ZDHHC23__chr3	ZDHHC23__chr3
ZDHHC24__chr11	ZDHHC24__chr11
ZDHHC2__chr8	ZDHHC2__chr8
ZDHHC3__chr3	ZDHHC3__chr3
ZDHHC4__chr7	ZDHHC4__chr7
ZDHHC5__chr11	ZDHHC5__chr11
ZDHHC6__chr10	ZDHHC6__chr10
ZDHHC7__chr16	ZDHHC7__chr16
ZDHHC8__chr22	ZDHHC8__chr22
ZDHHC9__chrX	ZDHHC9__chrX
ZEB1-AS1__chr10	ZEB1-AS1__chr10
ZEB1__chr10	ZEB1__chr10
ZEB2-AS1__chr2	ZEB2-AS1__chr2
ZEB2_AS1_1__chr2	ZEB2_AS1_1__chr2
ZEB2_AS1_3__chr2	ZEB2_AS1_3__chr2
ZEB2_AS1_4__chr2	ZEB2_AS1_4__chr2
ZEB2__chr2	ZEB2__chr2
ZER1__chr9	ZER1__chr9
ZFAND1__chr8	ZFAND1__chr8
ZFAND2A__chr7	ZFAND2A__chr7
ZFAND2B__chr2	ZFAND2B__chr2
ZFAND3__chr6	ZFAND3__chr6
ZFAND4__chr10	ZFAND4__chr10
ZFAND5__chr9	ZFAND5__chr9
ZFAND6__chr15	ZFAND6__chr15
ZFAS1__chr20	ZFAS1__chr20
ZFAT-AS1_1__chr8	ZFAT-AS1_1__chr8
ZFAT-AS1_2__chr8	ZFAT-AS1_2__chr8
ZFAT-AS1_3__chr8	ZFAT-AS1_3__chr8
ZFAT-AS1__chr8	ZFAT-AS1__chr8
ZFAT__chr8	ZFAT__chr8
ZFC3H1__chr12	ZFC3H1__chr12
ZFHX2__chr14	ZFHX2__chr14
ZFHX3__chr16	ZFHX3__chr16
ZFHX4-AS1__chr8	ZFHX4-AS1__chr8
ZFHX4__chr8	ZFHX4__chr8
ZFP14__chr19	ZFP14__chr19
ZFP1__chr16	ZFP1__chr16
ZFP28__chr19	ZFP28__chr19
ZFP2__chr5	ZFP2__chr5
ZFP30__chr19	ZFP30__chr19
ZFP36L1__chr14	ZFP36L1__chr14
ZFP36L2__chr2	ZFP36L2__chr2
ZFP36__chr19	ZFP36__chr19
ZFP37__chr9	ZFP37__chr9
ZFP3__chr17	ZFP3__chr17
ZFP41__chr8	ZFP41__chr8
ZFP42__chr4	ZFP42__chr4
ZFP57__chr6	ZFP57__chr6
ZFP62__chr5	ZFP62__chr5
ZFP64__chr20	ZFP64__chr20
ZFP69B__chr1	ZFP69B__chr1
ZFP69__chr1	ZFP69__chr1
ZFP82__chr19	ZFP82__chr19
ZFP90__chr16	ZFP90__chr16
ZFP91-CNTF__chr11	ZFP91-CNTF__chr11
ZFP91__chr11	ZFP91__chr11
ZFP92__chrX	ZFP92__chrX
ZFPL1__chr11	ZFPL1__chr11
ZFPM1__chr16	ZFPM1__chr16
ZFPM2-AS1__chr8	ZFPM2-AS1__chr8
ZFPM2__chr8	ZFPM2__chr8
ZFR2__chr19	ZFR2__chr19
ZFR__chr5	ZFR__chr5
ZFX-AS1__chrX	ZFX-AS1__chrX
ZFX__chrX	ZFX__chrX
ZFY-AS1__chrY	ZFY-AS1__chrY
ZFYVE16__chr5	ZFYVE16__chr5
ZFYVE19__chr15	ZFYVE19__chr15
ZFYVE1__chr14	ZFYVE1__chr14
ZFYVE21__chr14	ZFYVE21__chr14
ZFYVE26__chr14	ZFYVE26__chr14
ZFYVE27__chr10	ZFYVE27__chr10
ZFYVE28__chr4	ZFYVE28__chr4
ZFYVE9__chr1	ZFYVE9__chr1
ZFY__chrY	ZFY__chrY
ZG16B__chr16	ZG16B__chr16
ZG16__chr16	ZG16__chr16
ZGLP1__chr19	ZGLP1__chr19
ZGPAT__chr20	ZGPAT__chr20
ZGRF1__chr4	ZGRF1__chr4
ZHX1-C8orf76__chr8	ZHX1-C8orf76__chr8
ZHX1__chr8	ZHX1__chr8
ZHX2__chr8	ZHX2__chr8
ZHX3__chr20	ZHX3__chr20
ZIC1__chr3	ZIC1__chr3
ZIC2__chr13	ZIC2__chr13
ZIC3__chrX	ZIC3__chrX
ZIC4-AS1__chr3	ZIC4-AS1__chr3
ZIC4__chr3	ZIC4__chr3
ZIC5__chr13	ZIC5__chr13
ZIK1__chr19	ZIK1__chr19
ZIM2-AS1__chr19	ZIM2-AS1__chr19
ZIM2__chr19	ZIM2__chr19
ZIM3__chr19	ZIM3__chr19
ZKSCAN1__chr7	ZKSCAN1__chr7
ZKSCAN2__chr16	ZKSCAN2__chr16
ZKSCAN3__chr6	ZKSCAN3__chr6
ZKSCAN4__chr6	ZKSCAN4__chr6
ZKSCAN5__chr7	ZKSCAN5__chr7
ZKSCAN7__chr3	ZKSCAN7__chr3
ZKSCAN8__chr6	ZKSCAN8__chr6
ZMAT1__chrX	ZMAT1__chrX
ZMAT2__chr5	ZMAT2__chr5
ZMAT3__chr3	ZMAT3__chr3
ZMAT4__chr8	ZMAT4__chr8
ZMAT5__chr22	ZMAT5__chr22
ZMIZ1-AS1__chr10	ZMIZ1-AS1__chr10
ZMIZ1__chr10	ZMIZ1__chr10
ZMIZ2__chr7	ZMIZ2__chr7
ZMPSTE24__chr1	ZMPSTE24__chr1
ZMYM1__chr1	ZMYM1__chr1
ZMYM2__chr13	ZMYM2__chr13
ZMYM3__chrX	ZMYM3__chrX
ZMYM4-AS1__chr1	ZMYM4-AS1__chr1
ZMYM4__chr1	ZMYM4__chr1
ZMYM5__chr13	ZMYM5__chr13
ZMYM6NB__chr1	ZMYM6NB__chr1
ZMYM6__chr1	ZMYM6__chr1
ZMYND10-AS1__chr3	ZMYND10-AS1__chr3
ZMYND10__chr3	ZMYND10__chr3
ZMYND11__chr10	ZMYND11__chr10
ZMYND12__chr1	ZMYND12__chr1
ZMYND15__chr17	ZMYND15__chr17
ZMYND19__chr9	ZMYND19__chr9
ZMYND8__chr20	ZMYND8__chr20
ZNF100__chr19	ZNF100__chr19
ZNF101__chr19	ZNF101__chr19
ZNF106__chr15	ZNF106__chr15
ZNF107__chr7	ZNF107__chr7
ZNF10__chr12	ZNF10__chr12
ZNF112__chr19	ZNF112__chr19
ZNF114__chr19	ZNF114__chr19
ZNF117__chr7	ZNF117__chr7
ZNF121__chr19	ZNF121__chr19
ZNF124__chr1	ZNF124__chr1
ZNF12__chr7	ZNF12__chr7
ZNF131__chr5	ZNF131__chr5
ZNF132__chr19	ZNF132__chr19
ZNF133__chr20	ZNF133__chr20
ZNF134__chr19	ZNF134__chr19
ZNF135__chr19	ZNF135__chr19
ZNF136__chr19	ZNF136__chr19
ZNF138__chr7	ZNF138__chr7
ZNF140__chr12	ZNF140__chr12
ZNF141__chr4	ZNF141__chr4
ZNF142__chr2	ZNF142__chr2
ZNF143__chr11	ZNF143__chr11
ZNF146__chr19	ZNF146__chr19
ZNF148__chr3	ZNF148__chr3
ZNF14__chr19	ZNF14__chr19
ZNF154__chr19	ZNF154__chr19
ZNF155__chr19	ZNF155__chr19
ZNF157__chrX	ZNF157__chrX
ZNF160__chr19	ZNF160__chr19
ZNF165__chr6	ZNF165__chr6
ZNF169__chr9	ZNF169__chr9
ZNF16__chr8	ZNF16__chr8
ZNF174__chr16	ZNF174__chr16
ZNF175__chr19	ZNF175__chr19
ZNF177__chr19	ZNF177__chr19
ZNF17__chr19	ZNF17__chr19
ZNF180__chr19	ZNF180__chr19
ZNF181__chr19	ZNF181__chr19
ZNF182__chrX	ZNF182__chrX
ZNF184__chr6	ZNF184__chr6
ZNF185__chrX	ZNF185__chrX
ZNF189__chr9	ZNF189__chr9
ZNF18__chr17	ZNF18__chr17
ZNF195__chr11	ZNF195__chr11
ZNF197-AS1__chr3	ZNF197-AS1__chr3
ZNF197__chr3	ZNF197__chr3
ZNF19__chr16	ZNF19__chr16
ZNF200__chr16	ZNF200__chr16
ZNF202__chr11	ZNF202__chr11
ZNF205__chr16	ZNF205__chr16
ZNF207__chr17	ZNF207__chr17
ZNF208__chr19	ZNF208__chr19
ZNF20__chr19	ZNF20__chr19
ZNF211__chr19	ZNF211__chr19
ZNF212__chr7	ZNF212__chr7
ZNF213-AS1__chr16	ZNF213-AS1__chr16
ZNF213__chr16	ZNF213__chr16
ZNF214__chr11	ZNF214__chr11
ZNF215__chr11	ZNF215__chr11
ZNF217__chr20	ZNF217__chr20
ZNF219__chr14	ZNF219__chr14
ZNF221__chr19	ZNF221__chr19
ZNF222__chr19	ZNF222__chr19
ZNF223__chr19	ZNF223__chr19
ZNF224__chr19	ZNF224__chr19
ZNF225__chr19	ZNF225__chr19
ZNF226__chr19	ZNF226__chr19
ZNF227__chr19	ZNF227__chr19
ZNF229__chr19	ZNF229__chr19
ZNF22__chr10	ZNF22__chr10
ZNF230__chr19	ZNF230__chr19
ZNF232__chr17	ZNF232__chr17
ZNF233__chr19	ZNF233__chr19
ZNF234__chr19	ZNF234__chr19
ZNF235__chr19	ZNF235__chr19
ZNF236__chr18	ZNF236__chr18
ZNF239__chr10	ZNF239__chr10
ZNF23__chr16	ZNF23__chr16
ZNF248__chr10	ZNF248__chr10
ZNF24__chr18	ZNF24__chr18
ZNF250__chr8	ZNF250__chr8
ZNF251__chr8	ZNF251__chr8
ZNF252P-AS1__chr8	ZNF252P-AS1__chr8
ZNF253__chr19	ZNF253__chr19
ZNF254__chr19	ZNF254__chr19
ZNF256__chr19	ZNF256__chr19
ZNF257__chr19	ZNF257__chr19
ZNF25__chr10	ZNF25__chr10
ZNF260__chr19	ZNF260__chr19
ZNF263__chr16	ZNF263__chr16
ZNF264__chr19	ZNF264__chr19
ZNF266__chr19	ZNF266__chr19
ZNF267__chr16	ZNF267__chr16
ZNF268__chr12	ZNF268__chr12
ZNF26__chr12	ZNF26__chr12
ZNF273__chr7	ZNF273__chr7
ZNF274__chr19	ZNF274__chr19
ZNF275__chrX	ZNF275__chrX
ZNF276__chr16	ZNF276__chr16
ZNF277__chr7	ZNF277__chr7
ZNF280A__chr22	ZNF280A__chr22
ZNF280B__chr22	ZNF280B__chr22
ZNF280C__chrX	ZNF280C__chrX
ZNF280D__chr15	ZNF280D__chr15
ZNF281__chr1	ZNF281__chr1
ZNF282__chr7	ZNF282__chr7
ZNF283__chr19	ZNF283__chr19
ZNF284__chr19	ZNF284__chr19
ZNF285__chr19	ZNF285__chr19
ZNF286A__chr17	ZNF286A__chr17
ZNF286B__chr17	ZNF286B__chr17
ZNF287__chr17	ZNF287__chr17
ZNF28__chr19	ZNF28__chr19
ZNF292__chr6	ZNF292__chr6
ZNF295-AS1__chr21	ZNF295-AS1__chr21
ZNF296__chr19	ZNF296__chr19
ZNF2__chr2	ZNF2__chr2
ZNF30-AS1__chr19	ZNF30-AS1__chr19
ZNF300__chr5	ZNF300__chr5
ZNF302__chr19	ZNF302__chr19
ZNF304__chr19	ZNF304__chr19
ZNF30__chr19	ZNF30__chr19
ZNF311__chr6	ZNF311__chr6
ZNF316__chr7	ZNF316__chr7
ZNF317__chr19	ZNF317__chr19
ZNF318__chr6	ZNF318__chr6
ZNF319__chr16	ZNF319__chr16
ZNF32-AS1__chr10	ZNF32-AS1__chr10
ZNF32-AS2__chr10	ZNF32-AS2__chr10
ZNF32-AS3__chr10	ZNF32-AS3__chr10
ZNF320__chr19	ZNF320__chr19
ZNF322__chr6	ZNF322__chr6
ZNF324B__chr19	ZNF324B__chr19
ZNF324__chr19	ZNF324__chr19
ZNF326__chr1	ZNF326__chr1
ZNF329__chr19	ZNF329__chr19
ZNF32__chr10	ZNF32__chr10
ZNF330__chr4	ZNF330__chr4
ZNF331__chr19	ZNF331__chr19
ZNF333__chr19	ZNF333__chr19
ZNF334__chr20	ZNF334__chr20
ZNF335__chr20	ZNF335__chr20
ZNF337-AS1__chr20	ZNF337-AS1__chr20
ZNF337__chr20	ZNF337__chr20
ZNF33A__chr10	ZNF33A__chr10
ZNF33B__chr10	ZNF33B__chr10
ZNF341-AS1__chr20	ZNF341-AS1__chr20
ZNF341__chr20	ZNF341__chr20
ZNF343__chr20	ZNF343__chr20
ZNF345__chr19	ZNF345__chr19
ZNF346-IT1__chr5	ZNF346-IT1__chr5
ZNF346__chr5	ZNF346__chr5
ZNF347__chr19	ZNF347__chr19
ZNF34__chr8	ZNF34__chr8
ZNF350-AS1__chr19	ZNF350-AS1__chr19
ZNF350__chr19	ZNF350__chr19
ZNF354A__chr5	ZNF354A__chr5
ZNF354B__chr5	ZNF354B__chr5
ZNF354C__chr5	ZNF354C__chr5
ZNF358__chr19	ZNF358__chr19
ZNF35__chr3	ZNF35__chr3
ZNF362__chr1	ZNF362__chr1
ZNF365__chr10	ZNF365__chr10
ZNF366__chr5	ZNF366__chr5
ZNF367__chr9	ZNF367__chr9
ZNF37A__chr10	ZNF37A__chr10
ZNF382__chr19	ZNF382__chr19
ZNF383__chr19	ZNF383__chr19
ZNF384__chr12	ZNF384__chr12
ZNF385A__chr12	ZNF385A__chr12
ZNF385B__chr2	ZNF385B__chr2
ZNF385C__chr17	ZNF385C__chr17
ZNF385D-AS1__chr3	ZNF385D-AS1__chr3
ZNF385D-AS2__chr3	ZNF385D-AS2__chr3
ZNF385D__chr3	ZNF385D__chr3
ZNF391__chr6	ZNF391__chr6
